degree,start,end,institution,location,detail1,detail2,detail3,detail4
Bachelor of Science in Biological Sciences,2019-08-01,2023-05-01,University of Illinois Chicago,"Chicago, IL",Minors: Computer Science & Public Health,Graduated with Highest Distinction,Honors College,GPA: 4.00
Master of Science in Health Analytics,2023-08-01,,University of Illinois Chicago,"Chicago, IL",GPA: 4.00,,,
